product_id,ingredient_id
573193,10600
574983,283742
861636,10600
404786,2019
2557234,2465242
393347,307296
577126,187832
904457,42463
328608,8787
1114694,134547
309952,3521
855642,3355
314108,6980
686924,20352
311892,31448
1362706,6926
485440,461016
861379,325887
198250,10395
1807894,6809
477367,322167
197327,17652
857677,10368
1095229,4440
1049906,3498
197381,1202
311376,6470
903697,10814
1373483,1373478
856369,10737
1191310,25126
1246319,25255
238019,6373
1483744,7243
248310,4124
1039731,1952
198051,7646
312617,8640
311759,88249
197499,2409
979492,52175
1312402,1312397
966222,10582
977942,7814
835593,5691
849389,620
1488574,1488564
855338,11289
197989,7005
797544,797541
197738,1546438
1313885,8183
1362712,6926
1999387,1243041
197320,519
198078,8076
2123076,435
198007,7226
313217,37798
2667440,2667433
1482908,282446
1431235,1040028
310429,4603
882548,2582
855296,11289
197518,2582
429662,35619
728225,620216
308739,283810
197975,6904
310436,4637
617430,723
283417,18993
705610,9143
310187,4083
1234317,5492
259966,6902
198040,4917
966768,1218
389242,11645
1364855,2418
597730,195088
898690,18867
312018,4917
991486,2670
1999667,1721603
898350,17767
999683,19861
1494769,38404
1665050,2180
1805007,134547
834046,7984
1600704,1306284
2369390,39954
1192780,1116979
351109,19831
207362,6980
895493,895488
1738503,32937
2675199,711942
310793,5487
700883,37776
904557,904554
403970,4493
403971,4493
562251,723
895535,895527
896281,852029
968210,968197
968143,968130
311989,7454
249066,8638
803348,8152
238719,99
310994,191831
240573,8011
1656340,69749
197318,435
283535,3640
476576,25037
200034,61381
1535150,618597
197941,6835
485434,306266
866018,1827
197351,99
309680,3264
856992,161
1743549,7773
994005,7258
403853,5487
864675,60212
1117536,9789
602635,234416
314286,115698
1665046,2193
801054,36676
730866,321064
1294619,6922
403853,321064
616853,8703
749155,4124
309680,7299
1551885,234416
2679800,1656328
994008,283742
2058980,711942
1307624,1307619
1012053,852398
348804,6373
212033,1191
852662,852659
892668,892665
1098277,1098274
851893,851890
966958,852440
852630,852627
852707,852704
899596,899593
1014410,852687
852139,852136
1299985,1299981
1094377,891727
1012035,852466
899749,899746
1010856,975509
899451,899448
1098396,852209
2103256,862453
1098396,852213
197839,6058
1807513,11124
861601,7994
1862584,1862579
728113,260101
861505,2590
2611544,10798
312965,56443
905341,3154
251960,9873
307650,68244
1000091,3638
312173,7806
2571099,2571095
857187,50166
314238,10869
544550,56466
309092,2193
313199,83947
1807888,6809
1375948,3642
197624,3554
2670293,2670285
433718,7514
358917,1418
847627,9863
476345,341248
905323,972689
904824,899456
1010894,899637
1011078,899895
904614,899470
1011431,899873
1010848,891652
904413,899386
1011065,1011060
1011423,1011418
198369,38413
1495058,8787
1597615,37617
2630540,2630535
248420,52582
861748,6809
313272,10438
1653326,6750
892348,892338
2369397,2369389
1085636,10759
1543177,1543173
308866,36118
197682,4135
608623,6915
724863,641465
1314666,9346
597823,10627
999823,24941
328176,8691
1356582,1356552
966930,966925
966920,9863
1790122,1356552
1010600,7242
1992701,6809
857118,161
308715,1514
198215,9873
2262254,2262250
1091497,6901
1995288,2653
1922509,224905
2593376,1292
861743,6809
313036,9873
402109,358262
1923826,614373
2668595,2197862
252478,28439
1428947,342369
1373501,4124
2056500,10582
2056472,10582
1044349,1013944
900773,900770
1544473,1544460
2256945,2256930
1090053,5496
1789950,1712
197681,4127
894798,894795
197928,6760
1494174,10223
1040008,1040004
847628,8591
2105811,2105806
2677773,1442132
1739794,1665222
1370754,5492
902638,901845
200251,34322
831426,11115
861021,6809
1014199,852412
1044528,1014774
831426,4919
968452,968437
896110,31476
2199020,2199015
992757,27084
1370750,5492
794979,8638
2562816,2562811
244374,1418
2288418,2288236
245273,3407
244374,4053
899473,899470
2639960,2099704
897991,852593
995611,995600
896259,852020
311943,53654
753350,753346
2180666,4832
800584,11115
831162,24912
864978,6813
984105,81647
1115573,4337
800237,10962
311192,6057
848140,5487
1365984,1151
2257011,1999382
1667672,1667655
1923050,10582
848131,5487
1234482,7393
800237,10524
2262714,6064
800237,6308
854068,852826
800584,4919
1115837,1111024
900922,852355
1299994,1299981
899598,899593
1044510,852382
1670316,1670304
1191262,25126
855873,8183
864661,300195
801403,11115
801403,4919
800434,6033
836268,262150
706548,36345
1244634,1514
836641,39993
308212,733
1303125,8640
348622,1151
312643,8727
800611,10962
2591502,2591497
2672922,1102188
827351,56443
800611,10524
966660,901845
800611,6308
966982,966979
800611,9863
1192733,1192729
2564003,2563966
852837,852834
1656333,5333
807396,6579
807396,114202
854054,851918
895362,895353
1299990,852054
895474,851866
895449,851744
1100198,73
1370976,1370971
2289418,2289380
2385348,223779
2289426,2289380
402245,343047
1597568,1819
1595770,5489
896261,852020
897372,852324
897510,867218
2626364,21183
889530,852015
898409,898404
2594760,35829
856720,704
896279,852029
897966,852539
1006492,995600
1946476,8091
864681,60212
801644,6308
1006505,314455
1304497,2418
801644,10962
1014446,903913
801644,10524
1014349,900743
901023,867311
1232582,1111024
856944,5489
197841,6058
1293508,4025
1718983,8591
1119569,11246
1422093,341248
1014724,1014721
1300002,1299981
1045587,900108
204602,7299
2268317,2268307
999729,10689
1595460,6406
2288814,1484911
1595471,743
1995477,6406
1995477,8031
834182,7984
199746,4450
252487,12062
755937,8766
477589,34693
1014678,20610
238909,1399
198440,161
250660,1808
141997,5640
199282,9071
104429,6058
2099994,6313
250788,5492
831150,3443
2391334,8163
880649,3264
106994,8638
1536880,161
991184,2403
199747,4450
643058,89013
103954,1191
251105,5093
197463,2348
692783,28889
105304,6922
997216,135447
1012471,259453
204498,3390
OMOP901138,6851
1236084,1425
199745,4450
153680,135056
OMOP3138736,6130
1868011,3992
104706,3322
834192,2358
1091652,1091643
2166796,435
2286602,283810
1014303,10528
543460,114202
141952,2002
1085640,10759
2670184,2670179
315217,59763
313254,10395
237786,4511
807396,4850
1535470,3288
259233,2582
849115,3264
996640,2670
1538137,1538097
309682,3264
1251190,6218
485415,596
2274807,2274803
1490473,1490468
309072,2189
2044922,2044896
861964,40138
2468312,1490468
2472156,2472152
2359334,2359268
198373,29365
1193037,2418
1442137,1442132
2551004,2550729
2669980,2669967
978777,67109
2049119,2049106
1656648,196102
2047633,2047628
346494,61148
905352,973274
2559727,2272107
905339,889591
901268,901265
994528,1191
2670637,2670631
2645244,1100072
204119,6606
2197884,2197878
2282408,2282403
476673,25480
307923,852519
2169274,857974
307924,852519
1247386,743
896144,896135
2257673,6980
313423,10637
860096,35827
2587741,358263
308693,1418
1595460,8031
2117871,1712
310213,33747
966805,974129
2204103,1484911
892595,892592
863758,32675
2396772,1251
2600880,2600867
2678244,1102270
2055011,2054968
2600884,2600867
2562187,2562176
2679810,2370147
800341,42543
800341,426
199427,873
OMOP352414,3264
748800,11636
1359127,7514
1943550,3264
749788,591622
763181,8640
759742,4124
749860,31994
1796664,1603296
2641918,1356552
1001689,6585
2272623,3322
2045244,9863
2288432,2288236
2122660,44157
2678950,2678930
2635021,1243041
2390767,6585
2602769,343048
905084,73056
2599542,2587892
759481,3264
1000395,6691
1000395,4099
2044970,358257
2121587,3264
1424850,3498
1424850,5032
1184872,1825
1178325,75917
153682,135056
998279,797541
152514,22892
219354,8163
36572,6375
219407,3966
226326,2590
220074,8896
1039169,1390
352519,798304
352519,798302
543367,11002
2265684,2265678
1302971,1302966
203870,282357
2054258,2054252
OMOP333458,596724
1862585,1862579
1723758,1723735
2562817,2562811
203876,9549
1999582,1999574
OMOP333636,191831
OMOP335073,797752
219603,115238
OMOP436251,746741
1799213,1799206
OMOP438960,73044
588846,306266
OMOP334447,OMOP988462
OMOP438644,350202
OMOP434551,6719
2639161,2639155
2382605,224905
2362235,2362165
OMOP4834734,6711
2642144,2636589
OMOP335414,141704
OMOP332581,1116632
OMOP4977132,4815
OMOP5040623,OMOP5042938
1373464,1373458
135423,61381
2055761,2055755
1102274,1102270
OMOP333721,386938
OMOP4635362,25255
OMOP336196,1488564
397406,70561
203748,59763
OMOP337751,OMOP991118
2621555,2621548
284756,195088
1743995,4249
2619319,2619313
901515,901511
2610412,2610407
OMOP335283,4337
1101770,72962
2667427,402316
1546173,1546168
OMOP332949,1440856
338818,338817
2184143,2540
584219,578033
OMOP333427,OMOP989217
OMOP336878,61381
OMOP2017176,1546438
189643,237057
OMOP333711,68442
1484917,1484911
OMOP333853,115264
1539201,283809
OMOP332930,11002
OMOP3107292,227518
OMOP333453,OMOP998559
OMOP333913,10600
OMOP571918,1605101
1994312,51428
OMOP335139,460132
1944780,519
OMOP5182311,11636
1601655,343047
OMOP1140203,1608803
659877,798266
1939330,1799206
OMOP4977104,1945213
OMOP333831,4257
OMOP336408,4124
1664316,6809
OMOP888720,1657128
OMOP334643,1102270
2049672,1306284
1597095,1596931
OMOP2007056,400008
2670561,2360571
2109616,797752
OMOP570443,214606
OMOP2006533,798304
OMOP334507,854966
2566310,2566291
OMOP1140203,798306
OMOP335931,1440051
OMOP433828,183379
1593136,1593128
2197691,2197293
114883,807219
152819,35827
